Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-4.884809164728,-5.129763798895,-4.639854530561,-39.08499247939,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021 2022"
Age_LT60,1,-0.463774590713,-0.665235195053,-0.262313986374,-4.511956557080,0.000006423235,Gee,Age<60,v2025,"HCUP 2020, 2021 2022"
Age_60_64,1,-0.220310183137,-0.402197325570,-0.038423040704,-2.373999715427,0.017596564050,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021 2022"
Age_70_74,1,0.386469020165,0.249375207551,0.523562832779,5.525160809395,0.000000032918,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021 2022"
Age_75_79,1,0.506122223087,0.359971374520,0.652273071655,6.787379880084,0.000000000011,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021 2022"
Age_80_84,1,0.709100679894,0.561288445294,0.856912914494,9.402549104064,0.000000000000,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021 2022"
Age_85_89,1,0.915526197253,0.743543821875,1.087508572631,10.433617802826,0.000000000000,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021 2022"
Age_90Plus,1,1.082454157168,0.839026625732,1.325881688605,8.715411730310,0.000000000000,Gee,Age >= 90,v2025,"HCUP 2020, 2021 2022"
MALE,1,-0.325173182190,-0.421217712029,-0.229128652352,-6.635752467128,0.000000000032,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021 2022"
TRNSFER,1,0.781947865093,0.499432450678,1.064463279507,5.424800117702,0.000000058019,Gee,TRANSFER FROM ANOTHER ACUTE CARE HOSPITAL,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_BLD006,1,0.311228726870,0.194992686059,0.427464767681,5.247917008890,0.000000153829,Gee,Coagulation and hemorrhagic disorders,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_CIR007,1,-0.430088619278,-0.535657746146,-0.324519492411,-7.984893206565,0.000000000000,Gee,Essential hypertension,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_CIR008,1,-0.445003709026,-0.763790516675,-0.126216901377,-2.735970315431,0.006219663636,Gee,Hypertension with complications and secondary hypertension,v2025,"HCUP 2020, 2021 2022"
d_DXCCSR_CIR017,1,0.047192037644,-0.058151965670,0.152536040957,0.878025243291,0.379930019812,Gee,Cardiac dysrhythmias,v2025,"HCUP 2020, 2021 2022"
