Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Intercept,1,-3.187840807858,-3.405296577087,-2.970385038629,-28.73252429221,0.000000000000,Gee,Intercept,v2025,"HCUP 2020, 2021, 2022"
Age_LT30,1,-0.813506190069,-0.899304721467,-0.727707658672,-18.58356789752,0.000000000000,Gee,Age < 30,v2025,"HCUP 2020, 2021, 2022"
Age_30_34,1,-0.552821745468,-0.639328975137,-0.466314515800,-12.52508854044,0.000000000000,Gee,30 <= Age <= 34,v2025,"HCUP 2020, 2021, 2022"
Age_35_39,1,-0.441256732509,-0.509496976778,-0.373016488240,-12.67356693870,0.000000000000,Gee,35 <= Age <= 39,v2025,"HCUP 2020, 2021, 2022"
Age_40_44,1,-0.450099638756,-0.539109530697,-0.361089746814,-9.911022945622,0.000000000000,Gee,40 <= Age <= 44,v2025,"HCUP 2020, 2021, 2022"
Age_45_49,1,-0.267980691758,-0.315018805242,-0.220942578274,-11.16610479232,0.000000000000,Gee,45 <= Age <= 49,v2025,"HCUP 2020, 2021, 2022"
Age_50_54,1,-0.235852382452,-0.293324751968,-0.178380012936,-8.043207182314,0.000000000000,Gee,50 <= Age <= 54,v2025,"HCUP 2020, 2021, 2022"
Age_55_59,1,-0.156704649282,-0.192671964470,-0.120737334095,-8.539293722678,0.000000000000,Gee,55 <= Age <= 59,v2025,"HCUP 2020, 2021, 2022"
Age_60_64,1,-0.039430379212,-0.078065757695,-0.000795000729,-2.000294191132,0.045468505914,Gee,60 <= Age <= 64,v2025,"HCUP 2020, 2021, 2022"
Age_70_74,1,0.126309269139,0.089965726799,0.162652811479,6.811708559098,0.000000000010,Gee,70 <= Age <= 74,v2025,"HCUP 2020, 2021, 2022"
Age_75_79,1,0.239338005460,0.208915440334,0.269760570587,15.419274110649,0.000000000000,Gee,75 <= Age <= 79,v2025,"HCUP 2020, 2021, 2022"
Age_80_84,1,0.368145774509,0.336419318630,0.399872230387,22.742926655702,0.000000000000,Gee,80 <= Age <= 84,v2025,"HCUP 2020, 2021, 2022"
Age_85_89,1,0.452088844651,0.409497300780,0.494680388522,20.804079232531,0.000000000000,Gee,85 <= Age <= 89,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus,1,0.565439467754,0.519615378610,0.611263556897,24.184681309396,0.000000000000,Gee,Age >= 90,v2025,"HCUP 2020, 2021, 2022"
MALE,1,0.083481293381,0.061578109162,0.105384477600,7.470161725020,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2025,"HCUP 2020, 2021, 2022"
Age_85_89_MALE,1,0.098625860043,0.051867641695,0.145384078391,4.134099639797,0.000035634886,Gee,85 <= Age <= 89 MALE,v2025,"HCUP 2020, 2021, 2022"
Age_90Plus_MALE,1,0.128564020318,0.076684815008,0.180443225629,4.857068415453,0.000001191364,Gee,Age >= 90 MALE,v2025,"HCUP 2020, 2021, 2022"
COVIDDX,1,0.374883642843,0.327237255720,0.422530029967,15.421073511144,0.000000000000,Gee,COVID-19 Diagnosis,v2025,"HCUP 2020, 2021, 2022"
Q1,1,0.044225237318,-0.000449936341,0.088900410977,1.940224631539,0.052352396282,Gee,"Quarter 1, 2020",v2025,"HCUP 2020, 2021, 2022"
Q2,1,-0.030119827712,-0.078272261702,0.018032606277,-1.225977020173,0.220207322801,Gee,"Quarter 2, 2020",v2025,"HCUP 2020, 2021, 2022"
Q3,1,0.014045650589,-0.025901094737,0.053992395914,0.689141732807,0.490734079881,Gee,"Quarter 3, 2020",v2025,"HCUP 2020, 2021, 2022"
Q4,1,0.035256982887,-0.004587813384,0.075101779158,1.734289621983,0.082866707940,Gee,"Quarter 4, 2020",v2025,"HCUP 2020, 2021, 2022"
Q5,1,0.038220288239,0.000352483015,0.076088093463,1.978207820181,0.047905266885,Gee,"Quarter 1, 2021",v2025,"HCUP 2020, 2021, 2022"
Q6,1,-0.090658764175,-0.134745815208,-0.046571713142,-4.030387800998,0.000055684905,Gee,"Quarter 2, 2021",v2025,"HCUP 2020, 2021, 2022"
Q7,1,0.007022576879,-0.031292139896,0.045337293655,0.359235273552,0.719419090894,Gee,"Quarter 3, 2021",v2025,"HCUP 2020, 2021, 2022"
Q8,1,0.080788906323,0.042936202575,0.118641610071,4.183144955738,0.000028750394,Gee,"Quarter 4, 2021",v2025,"HCUP 2020, 2021, 2022"
Q9,1,0.078143276650,0.043004119712,0.113282433588,4.358613615546,0.000013088897,Gee,"Quarter 1, 2022",v2025,"HCUP 2020, 2021, 2022"
Q10,1,-0.017399001987,-0.059953271429,0.025155267454,-0.801363005627,0.422921525369,Gee,"Quarter 2, 2022",v2025,"HCUP 2020, 2021, 2022"
