VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.525671297462,0.017266569025,189967.09992792,0.000000000000,Intercept,v2023,"HCUP 2019, 2020"
FEMALE,1,0.205030109090,0.023473779897,76.290283605443,0.000000000000,Female,v2023,"HCUP 2019, 2020"
AGECAT2,1,0.615685323439,0.020546735161,897.90823787083,0.000000000000,Age 5-9,v2023,"HCUP 2019, 2020"
AGECAT3,1,0.312654079608,0.020706565598,227.98803456087,0.000000000000,Age 10-14,v2023,"HCUP 2019, 2020"
FAGECAT2,1,-0.477404600022,0.029073175123,269.64245345109,0.000000000000,"Female,Age 5-9",v2023,"HCUP 2019, 2020"
FAGECAT3,1,-0.273793128149,0.028767733604,90.580307484377,0.000000000000,"Female,Age 10-14",v2023,"HCUP 2019, 2020"
YEAR2020,1,-0.149818806522,0.025172114932,35.423645593163,0.000000002652,"Year indicator, =1 for year >=2020; =0 otherwise",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE,1,-0.158854219767,0.034970418693,20.634590164241,0.000005558275,"Year >=2020, Female",v2023,"HCUP 2019, 2020"
YEAR2020_AGE2,1,-0.512675460760,0.031612330463,263.00986256799,0.000000000000,"Year >=2020, Age 5-9",v2023,"HCUP 2019, 2020"
YEAR2020_AGE3,1,-0.193992048192,0.030702457249,39.922854519369,0.000000000264,"Year >=2020, Age 10-14",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE2,1,0.220789259525,0.045513306428,23.533098457067,0.000001227833,"Year >=2020, Female, Age 5-9",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE3,1,0.187125705639,0.043277476905,18.695756177793,0.000015332335,"Year >=2020, Female, Age 10-14",v2023,"HCUP 2019, 2020"
