VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.719335249434,0.018564032659,172908.02802705,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.104636510531,0.025886148622,16.339231111298,0.000052956221,Female,v2025,HCUP 2022
AGECAT2,1,0.859424514277,0.021524356734,1594.2451788099,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,0.292517856384,0.022463093004,169.57649477102,0.000000000000,Age 10-14,v2025,HCUP 2022
FAGECAT2,1,-0.356950259587,0.030798373832,134.32592253056,0.000000000000,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,-0.199049457833,0.031854289174,39.046864146932,0.000000000414,"Female,Age 10-14",v2025,HCUP 2022
