VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-8.150249752016,0.023023784639,125310.77209826,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.065753005957,0.032412130686,4.115437976953,0.042493521033,Female,v2025,HCUP 2022
AGECAT2,1,-0.806614970625,0.038658620974,435.35129496770,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,-0.094325986088,0.029870491202,9.971901484482,0.001589472556,Age 10-14,v2025,HCUP 2022
FAGECAT2,1,0.069160257053,0.053822835532,1.651125367693,0.198805831729,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,-0.035640928087,0.042211389260,0.712916583637,0.398477273863,"Female,Age 10-14",v2025,HCUP 2022
