VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.194986419209,0.009410968631,433323.32375271,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.398749212327,0.015042218148,702.70963937996,0.000000000000,Female,v2025,HCUP 2022
AGECAT2,1,-0.670704500305,0.013566811034,2444.0320056704,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,-1.814713884341,0.019363581834,8783.0414735552,0.000000000000,Age 10-14,v2025,HCUP 2022
AGECAT4,1,-2.574511502420,0.032756239597,6177.3412698356,0.000000000000,Age 15-17,v2025,HCUP 2022
FAGECAT2,1,0.053737005777,0.021512529244,6.239703890128,0.012491735969,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,0.193616681829,0.029696634398,42.508040076327,0.000000000070,"Female,Age 10-14",v2025,HCUP 2022
FAGECAT4,1,0.571759753417,0.045594836984,157.25187373105,0.000000000000,"Female,Age 15-17",v2025,HCUP 2022
