VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-9.280125778029,0.049917312982,34562.514107799,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,1.065804198175,0.044481823575,574.10282860573,0.000000000000,Female,v2025,HCUP 2022
AGECAT2,1,0.620435945731,0.045684492629,184.44049984463,0.000000000000,Age 5-9,v2025,HCUP 2022
AGECAT3,1,-0.027233651381,0.048798034936,0.311463443130,0.576783543589,Age 10-14,v2025,HCUP 2022
FAGECAT2,1,-0.606563669774,0.055053911486,121.38818801649,0.000000000000,"Female,Age 5-9",v2025,HCUP 2022
FAGECAT3,1,-0.633275679845,0.059485422961,113.33512078878,0.000000000000,"Female,Age 10-14",v2025,HCUP 2022
POVCAT2,1,-0.117274231378,0.049607877992,5.588611113358,0.018077624502,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.076814774679,0.046718318091,2.703429965361,0.100132615960,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.057628702814,0.048345255784,1.420921099843,0.233251854062,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.190000789733,0.047789167665,15.807088290913,0.000070139252,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.150641648884,0.047527152532,10.046308969853,0.001526534941,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.119592576152,0.048404149894,6.104403715268,0.013484544011,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.200472575102,0.045943582924,19.039705056521,0.000012802660,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.130250697287,0.047476361299,7.526711356285,0.006079077786,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.363979975324,0.044688840394,66.337150318083,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
