VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-2.176487813077,0.003254695682,447189.60940970,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.142801194953,0.003629789205,1547.7502181403,0.000000000000,Female,v2025,HCUP 2022
AGECAT9,1,-2.020684775595,0.004347076976,216073.98305615,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT10,1,-1.800523037912,0.004201829957,183620.18435087,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT11,1,-1.572457685058,0.003913478858,161447.73291315,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT12,1,-1.299160858443,0.003692886647,123763.87562967,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT13,1,-1.130040406234,0.003580848824,99590.055037312,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT14,1,-1.038051645699,0.003622108645,82132.487618526,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT15,1,-0.912765834682,0.003708906637,60565.729065050,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT16,1,-0.657912694043,0.003813838040,29758.568736059,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT17,1,-0.341702564665,0.004074870254,7031.8388059629,0.000000000000,Age 80-84,v2025,HCUP 2022
FAGECAT9,1,0.153703208019,0.005915994348,675.01024305166,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT10,1,0.138747100663,0.005701899118,592.11869707709,0.000000000000,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT11,1,0.091927113207,0.005308269653,299.90333248129,0.000000000000,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT12,1,0.019922748955,0.005002448946,15.861096044550,0.000068165670,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT13,1,0.011166142445,0.004818823700,5.369381377893,0.020493244427,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT14,1,0.004982217195,0.004861278227,1.050374951996,0.305420747862,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT15,1,0.030429921090,0.004951035284,37.775446775120,0.000000000794,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT16,1,0.054008957466,0.005063045352,113.79101024537,0.000000000000,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT17,1,0.033154445013,0.005373520879,38.068489365751,0.000000000683,"Female,Age 80-84",v2025,HCUP 2022
POVCAT1,1,-0.832244090285,0.002816262102,87328.358683693,0.000000000000,Poverty category 1: Estimated percent of people of all ages in poverty less than or equal to 7.4,v2025,HCUP 2022
POVCAT2,1,-0.680259207621,0.002730504378,62067.335692567,0.000000000000,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,-0.544469695274,0.002500011601,47431.119660104,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,-0.516342055131,0.002572393303,40290.277377608,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,-0.400464634194,0.002516477425,25324.580486224,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,-0.283572509053,0.002405921896,13892.013687169,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,-0.371329416151,0.002490882275,22223.492206493,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,-0.180352029253,0.002330789870,5987.3662176087,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,-0.146263205232,0.002391489906,3740.5293643959,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
