VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.476791273124,0.038818508636,37098.198531151,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.366931369939,0.046057048269,63.471312972849,0.000000000000,Female,v2025,HCUP 2022
AGECAT5,1,-0.826123908080,0.045067795019,336.01430048936,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT6,1,-0.140105304897,0.043201595968,10.517428716378,0.001182539099,Age 25-29,v2025,HCUP 2022
AGECAT7,1,0.241561383958,0.041704653044,33.549495452391,0.000000006947,Age 30-34,v2025,HCUP 2022
AGECAT8,1,0.389973267144,0.041443148900,88.545028383317,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT9,1,0.487505782785,0.041325834001,139.16059903587,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT10,1,0.519380071126,0.041480884616,156.77418220126,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT11,1,0.584841489616,0.041177293876,201.72547437979,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT12,1,0.657167025974,0.041017245433,256.69567150139,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT13,1,0.580149385777,0.041212348865,198.16408146411,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT14,1,0.326488668241,0.042344543661,59.448556114142,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT15,1,0.161928804486,0.043927593933,13.588558450656,0.000227568319,Age 70-74,v2025,HCUP 2022
AGECAT16,1,0.081892369298,0.046466844124,3.105993319082,0.078004633822,Age 75-79,v2025,HCUP 2022
AGECAT17,1,0.117492185190,0.051006519820,5.305991832390,0.021252196152,Age 80-84,v2025,HCUP 2022
FAGECAT5,1,0.039443472649,0.054844642662,0.517227806853,0.472026622241,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT6,1,-0.078749486222,0.052511014771,2.249026827491,0.133698460718,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT7,1,-0.178488396461,0.050497318914,12.493477378966,0.000408375335,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT8,1,-0.124089336870,0.050006380764,6.157693678101,0.013084170022,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT9,1,-0.111533877834,0.049790081337,5.017968523174,0.025085583123,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT10,1,-0.128537758043,0.050021849252,6.603010003035,0.010180651866,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT11,1,-0.199840781379,0.049684890670,16.177803693594,0.000057665869,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT12,1,-0.317206842322,0.049585634243,40.923554498391,0.000000000158,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT13,1,-0.403846720632,0.050006328405,65.220358827174,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT14,1,-0.321140827504,0.051522343241,38.850787928531,0.000000000457,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT15,1,-0.224827364799,0.053485578182,17.669528080065,0.000026280315,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT16,1,-0.035539444255,0.056224290054,0.399551995455,0.527320715771,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT17,1,0.023879827723,0.061407536441,0.151223410856,0.697368954012,"Female,Age 80-84",v2025,HCUP 2022
