VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.568593203555,0.011016610955,255502.38609452,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.011830631592,0.013866634307,0.727903380420,0.393563629795,Female,v2025,HCUP 2022
AGECAT5,1,-2.679228665819,0.022027841115,14793.661996871,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-2.269954328189,0.019692187824,13287.592461959,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-1.703611003094,0.016251712321,10988.606474072,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-1.024185253166,0.013928855145,5406.6243102232,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-0.546602255560,0.012911321927,1792.2616800115,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.368809676604,0.012860004468,822.47437431185,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.255561892554,0.013081206048,381.67755217005,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.094457224291,0.013505158521,48.918258327698,0.000000000003,Age 75-79,v2025,HCUP 2022
AGECAT13,1,0.040393016573,0.014662366609,7.589347298378,0.005871420318,Age 80-84,v2025,HCUP 2022
FAGECAT5,1,0.663845219735,0.027343445480,589.42314924895,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,0.643509675352,0.024490989985,690.39475070104,0.000000000000,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,0.590949975942,0.020364850136,842.05217436323,0.000000000000,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,0.398975250617,0.017689290922,508.71092362367,0.000000000000,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,0.277841942305,0.016449128836,285.30527953323,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,0.177635354411,0.016436795588,116.79506836828,0.000000000000,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,0.151687066767,0.016718791748,82.316582218393,0.000000000000,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.179520793653,0.017205246335,108.86987622793,0.000000000000,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,0.132780426597,0.018646667471,50.706737317748,0.000000000001,"Female,Age 80-84",v2025,HCUP 2022
