VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.272919779374,0.009515027255,307101.72443498,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.528587261924,0.013374187843,1562.0630123377,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-1.588862660550,0.012410386423,16390.873898382,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-1.419380059310,0.012816158966,12265.397514500,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-1.277219156872,0.012309364454,10766.129189350,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-1.110376333129,0.012020947458,8532.2386682926,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-0.832473610100,0.011550328721,5194.6017948238,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-0.550780309739,0.011235752246,2402.9929873871,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-0.329533413182,0.010843257391,923.59033478994,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-0.125659707619,0.010615214389,140.13110614849,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-0.062974473719,0.010556566164,35.586374553485,0.000000002440,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.047361910654,0.010695227661,19.610034665527,0.000009496910,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.045982415562,0.010985004530,17.521976089583,0.000028400593,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.003387205317,0.011494455598,0.086837283846,0.768237070558,Age 75-79,v2025,HCUP 2022
AGECAT13,1,0.081010562927,0.012555118654,41.633378727173,0.000000000110,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.622565487017,0.017396009920,1280.7689460896,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.478875535673,0.018235000856,689.65791603906,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,0.326046795112,0.017777682014,336.36407380714,0.000000000000,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,0.248814455109,0.017484701840,202.50453491186,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,0.140280159380,0.016896426270,68.929128275346,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,0.075511759682,0.016442981662,21.089585153170,0.000004383039,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,0.020679661866,0.015827005403,1.707219510730,0.191346522534,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.081396955194,0.015506405589,27.554595538311,0.000000152722,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.107544277821,0.015395145543,48.798561183420,0.000000000003,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.083907776191,0.015571731372,29.035587380093,0.000000071061,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.026883861154,0.015946132434,2.842317272722,0.091811721850,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.016149935610,0.016661735896,0.939509331141,0.332404061080,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,0.007328344280,0.018157018446,0.162900590430,0.686499933358,"Female,Age 80-84",v2025,HCUP 2022
