VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.435941856817,0.016960295038,143998.31762928,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.650299005992,0.019354663688,1128.8985669658,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-3.846543286094,0.047177264233,6647.7662787641,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-2.820318415881,0.035254115642,6399.9508234232,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-1.996878548895,0.026218673436,5800.7196280197,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-1.521941683224,0.023399791771,4230.3084808609,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-1.149718267048,0.021803654344,2780.5088790885,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-0.921103778777,0.021268253012,1875.6573000344,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-0.785332299203,0.020574876251,1456.9090982029,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-0.731574592845,0.020409976353,1284.7902301028,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-0.719844090264,0.020386972135,1246.7271822334,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.743509729493,0.020963999575,1257.8389173063,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.736197807104,0.021871137795,1133.0427217877,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.549593613251,0.022704560817,585.94539200293,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT13,1,-0.278423035907,0.024341893560,130.82827382655,0.000000000000,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,-0.745300498019,0.067341800425,122.48795281503,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,-0.574178961340,0.047361801083,146.97319381945,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,-0.806769190294,0.035377369243,520.05292125793,0.000000000000,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,-0.838555934872,0.030903149517,736.30642097870,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,-0.848689920834,0.028169141602,907.71782333631,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,-0.835959704178,0.027140986949,948.67927899035,0.000000000000,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,-0.927475789526,0.026236294042,1249.6839277721,0.000000000000,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.897352253387,0.025764208280,1213.0880169305,0.000000000000,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.755336219225,0.025242654722,895.38655007847,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.542391822360,0.025498137301,452.49038511160,0.000000000000,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.276355678731,0.026056820556,112.48482630041,0.000000000000,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,-0.135084773050,0.026741515103,25.517655842520,0.000000438353,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,-0.030275382099,0.028315720790,1.143204758281,0.284976163059,"Female,Age 80-84",v2025,HCUP 2022
