VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.846266173342,0.019500823266,123254.18294922,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,0.645998413882,0.019356046831,1113.8573500247,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-3.870065341621,0.047178862204,6728.8627407543,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-2.834350206616,0.035255884177,6463.1434920176,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-2.006993040697,0.026220780560,5858.6897621188,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-1.521106518518,0.023401658689,4224.9927991178,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-1.145397247165,0.021805631053,2759.1477087925,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-0.917143120247,0.021270287257,1859.2060118960,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-0.779806728222,0.020576769828,1436.2153259192,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-0.727700225585,0.020411619479,1271.0132915340,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-0.718347289716,0.020388310018,1241.3848978982,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.746549325877,0.020965169778,1268.0029030190,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.740082123961,0.021872233775,1144.9158046159,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.550636520830,0.022705636156,588.11556891261,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT13,1,-0.280886806448,0.024343074592,133.14100201301,0.000000000000,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,-0.742601164655,0.067342173529,121.60095703945,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,-0.571399733646,0.047362480086,145.54966019004,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,-0.803343179868,0.035378274179,515.61902736030,0.000000000000,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,-0.834685376656,0.030904198514,729.47538200749,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,-0.846239354301,0.028170289558,902.40982384255,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,-0.833988403261,0.027142198138,944.12607118854,0.000000000000,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,-0.925960925046,0.026237522639,1245.4883442845,0.000000000000,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.896285400082,0.025765463849,1210.0873292671,0.000000000000,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.755434979604,0.025243924053,895.53064330202,0.000000000000,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.541718437585,0.025499415815,451.32227899090,0.000000000000,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.274743319426,0.026058124786,111.16497205730,0.000000000000,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,-0.134794790887,0.026742897763,25.405590318620,0.000000464570,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,-0.031938167684,0.028317315763,1.272084105660,0.259376066937,"Female,Age 80-84",v2025,HCUP 2022
POVCAT2,1,0.071780321795,0.013921607798,26.584715241500,0.000000252231,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.147802450710,0.013220380977,124.99001758020,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.303381601981,0.013355663383,515.99744527877,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.287140093873,0.013305095786,465.74871476954,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.594100727779,0.012503774464,2257.5527442609,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.440799892817,0.013072428118,1137.0261045136,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.605153778413,0.012384516238,2387.6650626921,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.622185689071,0.012567195285,2451.1128560074,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.820942201613,0.012154335650,4562.0780639227,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
