VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.601767858016,0.026982887544,79369.265144609,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-1.136979853818,0.039925655790,810.96371392907,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-5.740611130012,0.159910244121,1288.7351821308,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-3.707349594715,0.071532974297,2686.0526162454,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-2.661338933612,0.045831610469,3371.8646917950,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-1.849205044197,0.035907166473,2652.2097573656,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-1.047963844916,0.030173397690,1206.2689958252,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-0.430153405817,0.027802017091,239.38344889549,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-0.052793715466,0.026496371611,3.970010383434,0.046317486800,Age 50-54,v2025,HCUP 2022
AGECAT8,1,0.229763028717,0.025884258849,78.793215918238,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,0.368961813018,0.025638013568,207.10667354319,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,0.374909109674,0.025881193397,209.83763860880,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,0.332204785247,0.026480641050,157.38189821574,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,0.267371217261,0.027773762867,92.674416485158,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT13,1,0.279212914025,0.030291418896,84.963377583144,0.000000000000,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.131855353888,0.312549651980,0.177974383844,0.673119833198,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.327181914359,0.129096957711,6.423127791837,0.011264359614,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,0.526005109633,0.077439393344,46.137710718278,0.000000000011,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,0.503757374384,0.060772887884,68.710496232260,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,0.299008106813,0.052183643409,32.831984254766,0.000000010048,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,0.113944607688,0.048500034006,5.519547418269,0.018805123329,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,0.020140750909,0.046050063805,0.191289373225,0.661845643091,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.079574248357,0.044885286169,3.142947258990,0.076255896646,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.047053686879,0.044096546751,1.138618287489,0.285944479725,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.060171616019,0.044575832230,1.822151279986,0.177057417266,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.025666287202,0.045630775258,0.316381007342,0.573790687290,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.036836313096,0.047837352761,0.592949946623,0.441280654491,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,-0.012625999095,0.052418903551,0.058017050036,0.809657976812,"Female,Age 80-84",v2025,HCUP 2022
POVCAT2,1,0.094731252222,0.018000026689,27.697480049305,0.000000141847,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.297233219345,0.016657482470,318.40212751712,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.377828810369,0.017109676969,487.64808318545,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.418720459296,0.016849276133,617.56954060044,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.487292708521,0.016595442618,862.18834136556,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.520174755637,0.016780548219,960.91783359891,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.688912776014,0.015892385617,1879.1017157508,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.722930472604,0.016063247859,2025.4724540760,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.923677026503,0.015586088707,3512.0929137678,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
