VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-3.674141880528,0.004215314928,759716.90970344,0.000000000000,Intercept,v2023,"HCUP 2019, 2020"
FEMALE,1,0.161814757501,0.005132131844,994.12419497904,0.000000000000,Female,v2023,"HCUP 2019, 2020"
AGECAT1,1,-4.710638802609,0.017524224685,72257.342456835,0.000000000000,Age 18-24,v2023,"HCUP 2019, 2020"
AGECAT2,1,-4.477879621487,0.017672486936,64202.137884640,0.000000000000,Age 25-29,v2023,"HCUP 2019, 2020"
AGECAT3,1,-4.143989889704,0.015512098663,71366.805532718,0.000000000000,Age 30-34,v2023,"HCUP 2019, 2020"
AGECAT4,1,-3.920225621116,0.014279671270,75367.777032153,0.000000000000,Age 35-39,v2023,"HCUP 2019, 2020"
AGECAT5,1,-3.680441780816,0.013377383467,75693.319518660,0.000000000000,Age 40-44,v2023,"HCUP 2019, 2020"
AGECAT6,1,-3.367751043433,0.011563077524,84826.799997738,0.000000000000,Age 45-49,v2023,"HCUP 2019, 2020"
AGECAT7,1,-2.980876097502,0.009826219340,92026.931385934,0.000000000000,Age 50-54,v2023,"HCUP 2019, 2020"
AGECAT8,1,-2.604658983637,0.008313099721,98169.315281159,0.000000000000,Age 55-59,v2023,"HCUP 2019, 2020"
AGECAT9,1,-2.253269632306,0.007541005854,89282.793786568,0.000000000000,Age 60-64,v2023,"HCUP 2019, 2020"
AGECAT10,1,-1.896160165829,0.007124959290,70824.784715084,0.000000000000,Age 65-69,v2023,"HCUP 2019, 2020"
AGECAT11,1,-1.470779845330,0.006713311175,47997.849956769,0.000000000000,Age 70-74,v2023,"HCUP 2019, 2020"
AGECAT12,1,-0.976699595184,0.006559037756,22173.883108784,0.000000000000,Age 75-79,v2023,"HCUP 2019, 2020"
AGECAT13,1,-0.525005624312,0.006628599547,6273.1308466331,0.000000000000,Age 80-84,v2023,"HCUP 2019, 2020"
FAGECAT1,1,0.859534580117,0.020610115099,1739.2654617573,0.000000000000,"Female,Age 18-24",v2023,"HCUP 2019, 2020"
FAGECAT2,1,0.750742934785,0.021082643595,1268.0383065838,0.000000000000,"Female,Age 25-29",v2023,"HCUP 2019, 2020"
FAGECAT3,1,0.600060116509,0.018868547498,1011.3758637414,0.000000000000,"Female,Age 30-34",v2023,"HCUP 2019, 2020"
FAGECAT4,1,0.523748222886,0.017512836513,894.40071533940,0.000000000000,"Female,Age 35-39",v2023,"HCUP 2019, 2020"
FAGECAT5,1,0.488771871848,0.016458113356,881.96695052195,0.000000000000,"Female,Age 40-44",v2023,"HCUP 2019, 2020"
FAGECAT6,1,0.369231608396,0.014459001920,652.11038038177,0.000000000000,"Female,Age 45-49",v2023,"HCUP 2019, 2020"
FAGECAT7,1,0.249469388802,0.012485558413,399.22578582292,0.000000000000,"Female,Age 50-54",v2023,"HCUP 2019, 2020"
FAGECAT8,1,0.132062788039,0.010676243118,153.01147913013,0.000000000000,"Female,Age 55-59",v2023,"HCUP 2019, 2020"
FAGECAT9,1,0.053453265415,0.009720390496,30.239949236634,0.000000038176,"Female,Age 60-64",v2023,"HCUP 2019, 2020"
FAGECAT10,1,-0.007043494576,0.009186559123,0.587855546404,0.443249565738,"Female,Age 65-69",v2023,"HCUP 2019, 2020"
FAGECAT11,1,0.011015570786,0.008573633967,1.650760751587,0.198855420363,"Female,Age 70-74",v2023,"HCUP 2019, 2020"
FAGECAT12,1,-0.011759604243,0.008321075573,1.997222637169,0.157587733529,"Female,Age 75-79",v2023,"HCUP 2019, 2020"
FAGECAT13,1,-0.000857751980,0.008307079029,0.010661707768,0.917760156166,"Female,Age 80-84",v2023,"HCUP 2019, 2020"
YEAR2020,1,-0.254990515082,0.006458038628,1559.0023708274,0.000000000000,"Year indicator, =1 for year >=2020; =0 otherwise",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE,1,-0.080663039001,0.007877519118,104.85043306148,0.000000000000,"Year >=2020, Female",v2023,"HCUP 2019, 2020"
YEAR2020_AGE1,1,-0.174107384465,0.027593339536,39.813086988740,0.000000000279,"Year >=2020, Age 18-24",v2023,"HCUP 2019, 2020"
YEAR2020_AGE2,1,-0.008365435495,0.027062547529,0.095551994489,0.757234158423,"Year >=2020, Age 25-29",v2023,"HCUP 2019, 2020"
YEAR2020_AGE3,1,-0.011048351941,0.023449432282,0.221988427407,0.637528995311,"Year >=2020, Age 30-34",v2023,"HCUP 2019, 2020"
YEAR2020_AGE4,1,0.015766601506,0.021380769288,0.543787885165,0.460867129686,"Year >=2020, Age 35-39",v2023,"HCUP 2019, 2020"
YEAR2020_AGE5,1,0.050037273339,0.019786142028,6.395360456158,0.011441899536,"Year >=2020, Age 40-44",v2023,"HCUP 2019, 2020"
YEAR2020_AGE6,1,0.013747920413,0.017422899596,0.622634456616,0.430069986918,"Year >=2020, Age 45-49",v2023,"HCUP 2019, 2020"
YEAR2020_AGE7,1,0.017844113343,0.014744345260,1.464667221484,0.226188974512,"Year >=2020, Age 50-54",v2023,"HCUP 2019, 2020"
YEAR2020_AGE8,1,0.047646639626,0.012452727708,14.639814349412,0.000130136027,"Year >=2020, Age 55-59",v2023,"HCUP 2019, 2020"
YEAR2020_AGE9,1,0.039316438598,0.011301866741,12.101744453521,0.000503746720,"Year >=2020, Age 60-64",v2023,"HCUP 2019, 2020"
YEAR2020_AGE10,1,0.031050438921,0.010697201996,8.425488572152,0.003699972132,"Year >=2020, Age 65-69",v2023,"HCUP 2019, 2020"
YEAR2020_AGE11,1,-0.006415640428,0.010146001103,0.399843665821,0.527170005377,"Year >=2020, Age 70-74",v2023,"HCUP 2019, 2020"
YEAR2020_AGE12,1,0.011047028574,0.009937619748,1.235737439622,0.266294137358,"Year >=2020, Age 75-79",v2023,"HCUP 2019, 2020"
YEAR2020_AGE13,1,-0.006443199963,0.010093159650,0.407520005925,0.523230943818,"Year >=2020, Age 80-84",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE1,1,0.133495414015,0.032331985631,17.047784189129,0.000036450883,"Year >=2020, Female, Age 18-24",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE2,1,0.044911119360,0.032384684229,1.923217603391,0.165502387248,"Year >=2020, Female, Age 25-29",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE3,1,0.064374865477,0.028590473972,5.069789863475,0.024346334852,"Year >=2020, Female, Age 30-34",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE4,1,0.046877609667,0.026362829243,3.161890921962,0.075375828939,"Year >=2020, Female, Age 35-39",v2023,"HCUP 2019, 2020"
YEAR2020_FEMALE_AGE5,1,0.025953704011,0.024517459959,1.120592587678,0.289790890276,"Year >=2020, Female, Age 40-44",v2023,"HCUP 2019, 2020"
