VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.521276187175,0.017697281749,135785.08146473,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.255942543448,0.023380929734,119.82885498360,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-3.281063499790,0.038888283978,7118.5528245729,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-2.772948403588,0.036129606910,5890.5670598744,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-2.336455708334,0.030406046959,5904.6638905631,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-2.147492913400,0.029019052358,5476.4235145629,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-1.866952718364,0.027053173641,4762.4474716752,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-1.624508942598,0.025987597853,3907.6165250168,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-1.417669595614,0.024311943766,3400.2487170813,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-1.162931686694,0.023003968410,2555.6588660210,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-1.048005525558,0.022507886771,2167.9921307254,0.000000000000,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.891350036357,0.022468724419,1573.7644756904,0.000000000000,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.668951312677,0.022524744581,882.00139202843,0.000000000000,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.379121474222,0.022857781764,275.09874237762,0.000000000000,Age 75-79,v2025,HCUP 2022
AGECAT13,1,-0.120407378388,0.024428454214,24.294850352243,0.000000826598,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.239793263013,0.054922555430,19.062176358575,0.000012652787,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.169438954289,0.051526576944,10.813441645575,0.001007658059,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,-0.073363483094,0.045004369222,2.657360813345,0.103071626642,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,-0.077582086834,0.042776397262,3.289383470759,0.069729200348,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,-0.085850962801,0.039500993201,4.723612998629,0.029751168753,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,0.032439302843,0.036872581702,0.773991036396,0.378985218034,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,0.130065160215,0.033736076944,14.863900978361,0.000115553307,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,0.052816313493,0.031932592064,2.735695925741,0.098128745708,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,0.060134431209,0.031029680857,3.755707809830,0.052627509504,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,0.158400119088,0.030496395879,26.978262385770,0.000000205756,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,0.164008757215,0.030415341360,29.076939001738,0.000000069560,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.143703877144,0.030813555125,21.749704209110,0.000003106378,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,0.116194009555,0.032753696223,12.584815213907,0.000388893482,"Female,Age 80-84",v2025,HCUP 2022
