VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-5.699430449956,0.010614950351,288288.27684244,0.000000000000,Intercept,v2025,HCUP 2022
FEMALE,1,-0.532494416846,0.013375707326,1584.8807935617,0.000000000000,Female,v2025,HCUP 2022
AGECAT1,1,-1.610057396752,0.012412699891,16824.811459401,0.000000000000,Age 18-24,v2025,HCUP 2022
AGECAT2,1,-1.432216452616,0.012818158879,12484.352314168,0.000000000000,Age 25-29,v2025,HCUP 2022
AGECAT3,1,-1.286335772377,0.012311299560,10916.939339978,0.000000000000,Age 30-34,v2025,HCUP 2022
AGECAT4,1,-1.108850866512,0.012022701582,8506.3284004651,0.000000000000,Age 35-39,v2025,HCUP 2022
AGECAT5,1,-0.827274902134,0.011552149139,5128.3082748084,0.000000000000,Age 40-44,v2025,HCUP 2022
AGECAT6,1,-0.545584479108,0.011237648256,2357.0736082099,0.000000000000,Age 45-49,v2025,HCUP 2022
AGECAT7,1,-0.322833988083,0.010845113004,886.11551151910,0.000000000000,Age 50-54,v2025,HCUP 2022
AGECAT8,1,-0.120555355418,0.010616987400,128.93487740735,0.000000000000,Age 55-59,v2025,HCUP 2022
AGECAT9,1,-0.060425401994,0.010558203249,32.753601477546,0.000000010461,Age 60-64,v2025,HCUP 2022
AGECAT10,1,-0.049435549681,0.010696805527,21.358489450643,0.000003809302,Age 65-69,v2025,HCUP 2022
AGECAT11,1,-0.049055316730,0.010986579332,19.936420084643,0.000008006058,Age 70-74,v2025,HCUP 2022
AGECAT12,1,-0.003959399790,0.011496077153,0.118620396635,0.730535624066,Age 75-79,v2025,HCUP 2022
AGECAT13,1,0.079036116619,0.012556919951,39.617305584013,0.000000000309,Age 80-84,v2025,HCUP 2022
FAGECAT1,1,0.624799193408,0.017397384539,1289.7721488734,0.000000000000,"Female,Age 18-24",v2025,HCUP 2022
FAGECAT2,1,0.481391593815,0.018236382755,696.81839485992,0.000000000000,"Female,Age 25-29",v2025,HCUP 2022
FAGECAT3,1,0.329274953836,0.017779088370,343.00339442143,0.000000000000,"Female,Age 30-34",v2025,HCUP 2022
FAGECAT4,1,0.252508547341,0.017486152200,208.52765458427,0.000000000000,"Female,Age 35-39",v2025,HCUP 2022
FAGECAT5,1,0.142662587769,0.016897937481,71.277555506774,0.000000000000,"Female,Age 40-44",v2025,HCUP 2022
FAGECAT6,1,0.077311627070,0.016444564873,22.102675814137,0.000002584492,"Female,Age 45-49",v2025,HCUP 2022
FAGECAT7,1,0.021950030071,0.015828623801,1.923020546308,0.165524059250,"Female,Age 50-54",v2025,HCUP 2022
FAGECAT8,1,-0.080608357201,0.015508054728,27.017520563807,0.000000201620,"Female,Age 55-59",v2025,HCUP 2022
FAGECAT9,1,-0.107915013098,0.015396795651,49.125054362559,0.000000000002,"Female,Age 60-64",v2025,HCUP 2022
FAGECAT10,1,-0.083513171998,0.015573400762,28.756964363246,0.000000082054,"Female,Age 65-69",v2025,HCUP 2022
FAGECAT11,1,-0.025567483862,0.015947845584,2.570229696545,0.108891919581,"Female,Age 70-74",v2025,HCUP 2022
FAGECAT12,1,0.016348044239,0.016663547325,0.962491028439,0.326560061962,"Female,Age 75-79",v2025,HCUP 2022
FAGECAT13,1,0.005788292200,0.018159056805,0.101604821917,0.749912218827,"Female,Age 80-84",v2025,HCUP 2022
POVCAT2,1,0.075514539535,0.006774774375,124.24287277937,0.000000000000,Poverty category 2: Estimated percent of people of all ages in poverty larger than 7.4% and less than or equal to 8.7%,v2025,HCUP 2022
POVCAT3,1,0.258916195207,0.006317942411,1679.4501093644,0.000000000000,Poverty category 3: Estimated percent of people of all ages in poverty larger than 8.7% and less than or equal to 10.1%,v2025,HCUP 2022
POVCAT4,1,0.342811823296,0.006458555405,2817.3500129872,0.000000000000,Poverty category 4: Estimated percent of people of all ages in poverty larger than 10.1% and less than or equal to 10.9%,v2025,HCUP 2022
POVCAT5,1,0.359737353854,0.006417359822,3142.3770168753,0.000000000000,Poverty category 5: Estimated percent of people of all ages in poverty larger than 10.9% and less than or equal to 12.2%,v2025,HCUP 2022
POVCAT6,1,0.507932624436,0.006212540378,6684.5745000596,0.000000000000,Poverty category 6: Estimated percent of people of all ages in poverty larger than 12.2% and less than or equal to 13.5%,v2025,HCUP 2022
POVCAT7,1,0.481559042846,0.006319819714,5806.1694532864,0.000000000000,Poverty category 7: Estimated percent of people of all ages in poverty larger than 13.5% and less than or equal to 14.2%,v2025,HCUP 2022
POVCAT8,1,0.599509622027,0.006060605698,9784.9870705142,0.000000000000,Poverty category 8: Estimated percent of people of all ages in poverty larger than 14.2% and less than or equal to 15.9%,v2025,HCUP 2022
POVCAT9,1,0.647866535543,0.006099564295,11281.671984927,0.000000000000,Poverty category 9: Estimated percent of people of all ages in poverty larger than 15.9% and less than or equal to 18.4%,v2025,HCUP 2022
POVCAT10,1,0.807358089023,0.005944498028,18445.992475695,0.000000000000,Poverty category 10: Estimated percent of people of all ages in poverty larger than 18.4% and less than or equal to 42.4%,v2025,HCUP 2022
