Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
PS14s_CMR_CANCER_METS,1,-0.402409078577,-0.839933981925,0.035115824771,-1.802656934558,0.071442109512,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Metastatic cancer,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_DEPRESS,1,0.096344243565,-0.305676025590,0.498364512721,0.469705788474,0.638565231712,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Depression,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_DIAB_CX,1,0.194554618113,-0.245624869756,0.634734105982,0.866283084597,0.386334940177,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Diabetes with chronic complications,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_DIAB_UNCX,1,-0.267216154976,-0.706310170787,0.171877860834,-1.192760595642,0.232963146422,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Diabetes without chronic complications,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_HTN_CX,1,-0.672763458681,-1.174426362292,-0.171100555070,-2.628442604861,0.008577682902,Gee,"Interaction between PS14 Open Approach Diagnosis Stratum and Hypertension, complicated",v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_HTN_UNCX,1,-0.470762586338,-0.763588446031,-0.177936726645,-3.150943415516,0.001627440159,Gee,"Interaction between PS14 Open Approach Diagnosis Stratum and Hypertension, uncomplicated",v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_OBESE,1,0.032127417759,-0.240774064673,0.305028900191,0.230737411765,0.817518807258,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Obesity,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_RENLFL_MOD,1,-0.360879911289,-0.949408652812,0.227648830234,-1.201830223346,0.229429313128,Gee,"Interaction between PS14 Open Approach Diagnosis Stratum and Renal failure, moderate",v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_RENLFL_SEV,1,-0.413318874066,-1.172576350651,0.345938602519,-1.066950451307,0.285994210991,Gee,"Interaction between PS14 Open Approach Diagnosis Stratum and Renal failure, severe",v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_THYROID_HYPO,1,-0.130736224114,-0.511547607620,0.250075159392,-0.672874556372,0.501027100445,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Hypothyroidism,v2025,"HCUP 2020, 2021, 2022"
PS14s_CMR_VALVE,1,-0.518254626141,-1.053947586682,0.017438334400,-1.896161564325,0.057938683868,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Valvular disease,v2025,"HCUP 2020, 2021, 2022"
PS14s_MDC_11,1,-1.820847033183,-2.236430902962,-1.405263163405,-8.587423299892,0.000000000000,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Diseases and disorders of the kidney and urinary tract,v2025,"HCUP 2020, 2021, 2022"
PS14s_MDC_13,1,-1.684953576382,-3.077478954816,-0.292428197949,-2.371553421200,0.017713485820,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Diseases and disorders of the female reproductive system,v2025,"HCUP 2020, 2021, 2022"
PS14s_MDC_18,1,0.810487454889,0.176607002333,1.444367907445,2.506034403015,0.012209373958,Gee,"Interaction between PS14 Open Approach Diagnosis Stratum and Infectious and parasitic diseases, systemic or unspecified sites",v2025,"HCUP 2020, 2021, 2022"
PS14s_MDC_8,1,-3.952149831773,-5.350953776819,-2.553345886727,-5.537639037418,0.000000030658,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and Diseases and disorders of the musculoskeletal system and connective tissue,v2025,"HCUP 2020, 2021, 2022"
PS14s_MDRG_1304,1,-0.057993577615,-2.489483962062,2.373496806832,-0.046747181970,0.962714725652,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and UTERINE & ADNEXA PROC FOR NON-MALIGNANCY,v2025,"HCUP 2020, 2021, 2022"
PS14s_MDRG_602,1,-1.150706071804,-1.452645521537,-0.848766622071,-7.469519002977,0.000000000000,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and MAJOR SMALL & LARGE BOWEL PROCEDURES,v2025,"HCUP 2020, 2021, 2022"
PS14s_TRNSFER,1,0.597964070180,-0.090094647772,1.286022788132,1.703325618910,0.088507148827,Gee,Interaction between PS14 Open Approach Diagnosis Stratum and TRANSFER FROM ANOTHER ACUTE CARE HOSPITAL,v2025,"HCUP 2020, 2021, 2022"
